date,price,climatic,iron_prod,iron_metallics,Shipments,Reserve_crudeore,Reserve_ironcontent,demand,rio_tinosprod
01/01/2014,128.12,1,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/02/2014,121.37,1,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/03/2014,111.83,0,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/04/2014,114.58,0,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/05/2014,100.56,0,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/06/2014,92.74,1,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/07/2014,96.05,1,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/08/2014,92.61,0,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/09/2014,82.38,1,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/10/2014,81.06,1,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/11/2014,73.73,1,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/12/2014,68.39,1,4675,162.5,4583.333333,14166.66667,6750,116.5,19.46666667
01/01/2015,68.23,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/02/2015,62.75,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/03/2015,58.05,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/04/2015,52.28,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/05/2015,60.3,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/06/2015,62.63,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/07/2015,52.39,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/08/2015,56.19,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/09/2015,56.95,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/10/2015,53.12,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/11/2015,46.86,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/12/2015,40.5,1,3841.666667,120.8333333,3625,15833.33333,7250,116.5,21.91666667
01/01/2016,41.88,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/02/2016,46.83,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/03/2016,56.2,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/04/2016,60.92,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/05/2016,55.13,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/06/2016,51.98,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/07/2016,57.26,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/08/2016,60.89,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/09/2016,57.79,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/10/2016,59.09,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/11/2016,73.1,1,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/12/2016,80.02,0,3483.333333,172.5,3883.333333,15833.33333,7083.333333,116.5,23.44166667
01/01/2017,80.41,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/02/2017,89.44,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/03/2017,87.65,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/04/2017,70.22,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/05/2017,62.43,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/06/2017,57.48,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/07/2017,67.74,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/08/2017,76.07,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/09/2017,71.53,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/10/2017,61.66,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/11/2017,64.24,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/12/2017,72.25,1,3991.666667,270.8333333,3908.333333,14166.66667,6833.333333,116.5,23.54166667
01/01/2018,76.34,1,4083.333333,283.3333333,4083.333333,14166.66667,6916.666667,116.6666667,24.23333333
01/02/2018,77.46,1,4083.333333,283.3333333,4083.333333,14166.66667,6916.666667,116.6666667,24.23333333
01/03/2018,70.35,1,4083.333333,283.3333333,4083.333333,14166.66667,6916.666667,116.6666667,24.23333333
01/04/2018,65.75,1,4083.333333,283.3333333,4083.333333,14166.66667,6916.666667,116.6666667,24.23333333
01/05/2018,66.1,1,4083.333333,283.3333333,4083.333333,14166.66667,6916.666667,116.6666667,24.23333333
01/06/2018,65.04,1,4083.333333,283.3333333,4083.333333,14166.66667,6916.666667,116.6666667,24.23333333
